,Start Interval,End Interval,MAPE,RMSE,R2,MAE
0,14568.024300000001,16766.65307,10.252256052947095,2712.2789470833823,-23.395911023987658,1671.1787237007456
1,16766.65307,18965.281839999996,10.073882969131414,2831.0858773526757,-25.302683653255766,1808.8901336449385
2,18965.281839999996,21163.910609999995,16.308390402727234,4698.4271170989405,-70.92229443624305,3282.876240199614
3,21163.910609999995,23362.539379999995,16.195801384323524,4757.945765830049,-71.53665123508137,3555.080445362571
4,23362.539379999995,25561.168149999994,13.26604886250648,4195.753499519197,-58.44304974116601,3154.458292005104
5,25561.168149999994,27759.796919999993,11.91101878565644,4071.4592324633027,-52.203548723601486,3071.4331914221793
6,27759.796919999993,29958.42568999999,12.983971864152235,4498.611953786147,-60.35612259945257,3606.0143586602476
7,29958.42568999999,32157.05445999999,15.28178735574271,5343.325815910989,-91.11795964629316,4538.744909645855
8,32157.05445999999,34355.68322999999,16.01408232149901,5811.027865214484,-105.16345261761225,5056.784951858394
9,34355.68322999999,36554.31199999998,15.096548250598246,6126.231734347114,-115.7283138481778,5049.473056146371
